,SkilledHealthStaffInPercOfTotal,beds_per_1000,Women_Political_Empowerment,Democracy_Index,Public_health_spending,GDP_per_capita,GINI,Capacity,Maternal_mortality_ratio,Population,birthRatePer1000population
LSO,86.6,,0.77,0.447,50.0,1170.65569702819,,0.2152000069618225,598.6392,8840521.0,27.361
LTU,100.0,6.27,0.916,0.75,66.0,19368.5391045353,35.7,1.4639999866485596,7.84595,11859446.0,9.5
LUX,,4.51,0.881,0.795,85.0,116786.511654677,35.4,,6.626671,11427054.0,10.3
LVA,,5.47,0.952,0.745,60.0,17252.1710428626,35.1,1.4630000591278076,23.367216,12383347.0,10.0
MAC,,,,,,83761.8171798142,,,,20438288.0,9.0
MAF,,,,,,,,,,163523103.0,19.421
MAR,86.6,,0.71,0.242,40.0,3501.69799804688,,0.708899975,78.01027,7025037.0,18.573
MCO,,,,,87.0,188298.315668437,,,,1503091.0,10.194
MDA,99.7,5.77,0.861,0.393,57.0,4156.44981956646,25.7,0.6079999804496765,14.480334,392717.0,13.275
MDG,46.1,,0.76,0.275,35.0,500.45718552916,,-0.778400004,423.27182,3387000.0,33.651
MDV,,4.95,0.499,0.192,77.0,11423.2838427029,,,48.531975,9438785.0,13.395
MEX,,0.98,0.797,0.455,50.0,10084.7937562021,46.0,0.6263999938964844,55.528206,63831.0,17.037
MHL,,,,,45.0,4858.12079054875,,,,11508368.0,24.066
MKD,99.9,4.14,0.842,0.39,58.0,6713.98925398989,33.0,0.7245000004768372,2.879425,280711.0,10.3
MLI,67.3,0.25,0.659,0.305,31.0,835.086710561793,36.0,-0.201199993,439.5398,437810.0,42.585
MLT,99.7,4.25,0.83,0.563,63.0,33332.1905601302,28.7,,4.053976,759759.0,9.2
MMR,,1.05,0.604,0.239,15.0,1298.21310320785,,-0.431300014,214.53392,2299141.0,18.054
MNE,98.8,3.86,0.865,0.36,60.0,8850.3749248372,36.8,1.116000056266785,5.3853955,37072620.0,11.6
MNG,99.3,7.86,0.87,0.536,46.0,4107.64288528468,32.7,0.6495000123977661,42.204525,102439383.0,24.5
MNP,,,,,,26509.3628379893,,,,8514329.0,16.559
MOZ,,0.76,0.747,0.261,22.0,517.507260258101,,0.2040999978780746,160.25722,164949.0,39.448
MRT,,,0.625,0.169,32.0,1722.93528854073,,-0.290300012,461.18158,18893191.0,36.621
MUS,99.8,3.54,0.821,0.629,44.0,11643.4605962124,,0.8165000081062317,50.344814,1402760000.0,10.2
MWI,,,0.764,0.443,25.0,533.203173686705,,0.155699998140335,391.79285,27464173.0,33.227
MYS,99.6,1.93,0.721,0.315,51.0,10901.8019954421,41.2,0.8827999830245972,21.516418,24806383.0,14.808
NAM,,,0.841,0.564,44.0,5308.60813408705,,0.617900014,217.95181,5483118.0,29.067
NCL,,,,,,34902.8968780031,,,,49024465.0,15.228
NER,,0.24,0.769,0.403,33.0,578.568035680892,37.3,-0.039179999,431.96274,771590.0,44.181
NGA,43.3,,0.736,0.388,16.0,2057.87944554011,35.1,-0.398400009,1135.4136,513415.0,35.69
