country_ISO3,v2x_libdem,v2elfemrst,v2elgvsuflvl,v2fsuffrage,v2pepwrses,v2pepwrgen,v2clgencl,v2peapsgen,v2peapsgeo,v2cacamps,v2x_neopat,v2xnp_client,v2xnp_regcorr,v2x_civlib,v2x_clphy,v2x_clpol,v2x_clpriv,v2xpe_exlecon,v2xpe_exlgender,v2xpe_exlgeo,v2xpe_exlpol,v2xpe_exlsocgr,v2x_corr,v2x_gender,v2x_gencl,v2x_gencs,v2x_genpp,v2x_rule,v2smpolsoc,e_v2x_civlib_5C,e_v2x_clpol_5C,e_v2x_clpriv_5C,e_v2x_corr_5C,e_v2x_gencl_5C,e_v2x_gencs_5C,e_v2x_gender_5C,e_v2x_genpp_5C,e_v2x_libdem_5C,e_v2x_liberal_5C,e_wbgi_gee,e_wbgi_pve,e_peedgini,e_miferrat,e_pechmor,e_pematmor,e_wb_pop
MRT,0.207,,,100.0,-1.865,0.281,-0.018,0.794,-0.768,-1.285,0.783,0.689,0.793,0.631,0.695,0.628,0.575,0.866,0.698,0.824,0.86,0.867,0.841,0.66,0.612,0.574,0.813,0.237,-1.004,0.75,0.75,0.5,1.0,0.75,0.5,0.75,1.0,0.25,0.5,-0.839,-0.701,,4.91,72.14,,4498604.0
CAN,0.75,,,100.0,1.419,2.967,2.243,2.428,1.849,-0.819,0.067,0.069,0.033,0.931,0.966,0.946,0.891,0.136,0.07,0.084,0.058,0.063,0.029,0.876,0.828,0.835,0.996,0.965,1.174,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.75,1.0,1.599,1.013,,1.41,4.89,,38007166.0
AUS,0.797,,,100.0,0.878,2.106,3.427,2.188,2.426,-1.098,0.019,0.073,0.044,0.923,0.949,0.933,0.898,0.023,0.036,0.039,0.012,0.04,0.032,0.92,0.905,0.892,0.99,0.989,0.558,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.75,1.0,1.574,0.862,,1.59,3.5,,25655289.0
BWA,0.482,,,100.0,0.454,0.087,1.545,1.76,1.222,-1.566,0.204,0.271,0.127,0.875,0.913,0.873,0.859,0.161,0.17,0.148,0.154,0.102,0.096,0.742,0.84,0.783,0.624,0.899,1.692,1.0,1.0,1.0,0.0,1.0,0.75,0.75,0.75,0.5,1.0,0.168,1.013,,2.86,34.8,,2546402.0
BDI,0.051,2.0,8.0,100.0,0.653,0.784,1.104,1.947,-0.785,2.824,0.949,0.902,0.849,0.174,0.027,0.117,0.361,0.842,0.303,0.607,0.89,0.766,0.891,0.62,0.286,0.589,0.98,0.073,-1.254,0.0,0.0,0.25,1.0,0.25,0.5,0.75,1.0,0.0,0.0,-1.302,-1.542,,5.18,55.11,,12220227.0
CPV,0.698,,,100.0,0.821,0.78,1.891,1.36,-0.364,-0.876,0.132,0.29,0.23,0.92,0.941,0.927,0.911,0.352,0.236,0.385,0.401,0.318,0.262,0.816,0.842,0.695,0.926,0.84,0.516,1.0,1.0,1.0,0.25,1.0,0.75,1.0,1.0,0.75,1.0,0.197,0.874,,1.59,18.09,,582640.0
CAF,0.201,2.0,8.0,100.0,0.815,1.049,0.369,-1.362,-1.545,1.051,0.705,0.749,0.733,0.496,0.401,0.628,0.455,0.901,0.607,0.837,0.768,0.908,0.826,0.574,0.419,0.539,0.75,0.17,-0.618,0.5,0.75,0.5,1.0,0.5,0.5,0.5,0.75,0.25,0.5,-1.729,-2.236,,6.06,110.05,,5343020.0
CHL,0.765,,,100.0,0.998,1.387,1.361,0.809,1.853,0.233,0.04,0.088,0.038,0.879,0.831,0.929,0.892,0.399,0.288,0.153,0.05,0.189,0.056,0.87,0.845,0.856,0.941,0.945,-1.582,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.75,1.0,0.705,0.044,,1.31,6.86,,19300315.0
CRI,0.848,,,100.0,0.551,2.868,2.734,2.033,1.415,-1.381,0.067,0.131,0.181,0.941,0.965,0.959,0.914,0.097,0.094,0.125,0.046,0.048,0.19,0.914,0.935,0.825,1.0,0.942,0.696,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.197,0.747,,1.45,8.19,,5123105.0
TLS,0.49,,,100.0,0.538,0.615,0.987,0.845,-0.828,-0.069,0.325,0.334,0.297,0.815,0.936,0.829,0.693,0.656,0.51,0.704,0.368,0.423,0.298,0.76,0.566,0.742,0.976,0.697,-0.179,1.0,1.0,0.75,0.25,0.5,0.75,0.75,1.0,0.5,0.75,-0.755,0.197,,3.01,42.69,,1299995.0
