iso3,VDem_2015,WBregion_2015,sample_polity_2015,Capacity_2015,Capacity_sd_2015,censusfreq_2015,v2clrspct_2015,v2stfisccap_2015,v2terr_2015,infcap_2015,irai_qbfm_2015,irai_qpa_2015,irai_erm_2015,milexpercap_2015,milpercap_2015,policecap_2015,StateHist50s_2015,bti_mo_2015,wbstat_2015,tax_inc_tax_2015,tax_trade_tax_2015,taxrev_gdp_2015
FJI,162,2,1,0.4424999952316284,0.3296479880809784,1.4583333730697632,0.48,1.253,2.1892316341400146,,,,,3.913279125974661,1.6152856349945068,,0.4124031364917755,,0.6111113429069519,0.25952184677124024,0.22794025421142577,0.254816378
FIN,163,3,1,2.3369998931884766,0.3431333005428314,1.4893616437911987,2.846,1.771,2.6283507347106934,0.8200467824935913,,,,6.431576545686359,1.7125107049942017,0.8744204044342041,0.8110790252685547,,,0.4975714111328125,0,0.3105230751607314
FRA,76,3,1,1.6419999599456787,0.3443182110786438,1.09375,2.144,2.211,1.632852554321289,0.4958139955997467,,,,6.564175194,1.7497321367263794,1.4643419981002808,0.9930689930915833,,,0.40089729309082034,0.001244842,0.2666865254756394
GAB,116,8,1,-0.208900005,0.3123475909233093,0.9589040875434875,1.527,0.062,1.0013450384140015,,,,,4.4827218866393075,1.4906481504440308,,0.47286826372146606,,0.3999996483325958,0.3808139419555664,0.3333333206176758,0.12148382605305405
GMB,117,8,1,-0.1567,0.3071424961090088,0.9589040875434875,-1.488,-0.788,2.4977054595947266,,3,2,2,2.0605129763603394,0.32464170455932617,,0.6371210813522339,,0.6555556654930115,,,
GEO,118,3,1,0.9021000266075134,0.3158876895904541,0.8641975522041321,1.78,1.848,0.8535759449005127,,,,,4.323186818957373,2.011345863342285,,0.5810248851776123,8,0.8888890147209167,0.4055025863647461,0.008650821,0.25226099004912456
DEU,77,3,1,2.3010001182556152,0.3457429111003876,1.3461538553237915,3.216,2.564,3.7190165519714355,0.8200467824935913,,,,6.117299066435753,1.153042197227478,,0.7555162310600281,,,0.5127950286865235,2.9097808874212205e-6,0.22663296865623417
GHA,7,8,1,0.2549999952316284,0.27545419335365295,0.9210526943206787,-1.103,0.714,2.0140907764434814,,4,3,3,2.0594761150690157,0.4424839913845062,,0.6810241937637329,14,0.6555556654930115,0.36832512665655287,0.16782556533813475,0.24054747669676801
GRC,164,3,1,1.4179999828338623,0.34848278760910034,1.2068965435028076,1.05,0.268,3.7190165519714355,0.5403871536254883,,,,6.115875600203442,2.693648338317871,1.7468565702438354,0.864222527,,,0.3193675422668457,0,0.25593493343654133
GRD,,4,0,,,1.4893616437911987,,,,,3,3,2,,,,0.5810030102729797,,0.511111319,0.1987881088256836,0.3377638626098633,0.19254798645088445
GTM,78,4,1,0.14550000429153442,0.2903974950313568,1.029411792755127,-0.438,1.607,1.3407549858093262,0.5767655372619629,,,,2.8053828085690147,1.2944080829620361,,0.8593969941139221,6,0.7222223877906799,0.3534382247924805,0.043482895,0.10159275944898256
GIN,63,8,1,-0.240099996,0.28329509496688843,1.09375,-0.199,-0.073,1.0257700681686401,,3,2,1,3.013953862754325,0.7304035425186157,,0.6298695802688599,13,0.5333333015441895,,0.2593647575378418,0.1391469142690315
GNB,119,8,1,-0.860300004,0.3107351064682007,1.25,-0.837,-1.359,1.1196569204330444,,1,1,0,2.3802030338013624,1.2702051401138306,,0.5472761392593384,,0.44444435834884644,,,0.10057142114404458
GUY,166,4,1,0.20829999446868896,0.3062218129634857,1,1.517,1.368,2.286586046218872,,4,1,2,4.119054378561946,1.6920043230056763,1.7483711242675781,0.593536913,,0.5666669607162476,,,
